run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
56,2,track_csv/jasminum-remote/results/56.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/56.csv,ok,,2758,2757,100,55,45,1,0.123983648081,0.0404929433745,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
57,2.25,track_csv/jasminum-remote/results/57.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/57.csv,ok,,2758,2757,100,52,48,1,0.0485449423213,0.0324930285024,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
58,2.5,track_csv/jasminum-remote/results/58.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/58.csv,ok,,2758,2757,100,50,50,1,0.0700628917421,0.0580249757464,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
59,2.75,track_csv/jasminum-remote/results/59.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/59.csv,ok,,2758,2757,100,46,54,1,0.0675776801285,0.0618371069654,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
60,3,track_csv/jasminum-remote/results/60.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/60.csv,ok,,2758,2757,100,50,50,1,0.193044253484,0.135807329575,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
61,2,track_csv/jasminum-remote/results/61.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/61.csv,ok,,2758,2757,100,55,45,1,0.0746513162566,0.070339598999,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
62,2.25,track_csv/jasminum-remote/results/62.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/62.csv,ok,,2758,2757,100,58,42,1,0.0601094502241,0.0457896185165,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
63,2.5,track_csv/jasminum-remote/results/63.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/63.csv,ok,,2758,2757,100,51,49,1,0.0639915139107,0.0514268622595,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
64,2.75,track_csv/jasminum-remote/results/64.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/64.csv,ok,,2758,2757,100,52,48,1,0.0560244418517,0.0468754013686,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
65,3,track_csv/jasminum-remote/results/65.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/65.csv,ok,,2758,2757,100,46,54,1,0.0827202727264,0.0686960484103,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
