lambda,target_acceptance,valid_run_count,pooled_transition_count,pooled_empirical_t0,pooled_paper_t0,mean_run_t0,median_run_t0,sd_run_t0,min_run_t0,p10_run_t0,p90_run_t0,max_run_t0,bootstrap_mean_ci_low,bootstrap_mean_ci_high
5.5,0.85,10,1000,0.161014475937,0.306803566275,0.166771626222,0.147480227897,0.0591664548629,0.0957956210688,0.107279984662,0.253653478478,0.264084211896,0.133306230217,0.202115409968
5.5,0.9,10,1000,0.275912902693,0.490477842211,0.282691585226,0.254034708518,0.101835336803,0.158529781,0.178446379604,0.426033110813,0.459877548787,0.228417222638,0.344815784059
5.5,0.95,10,1000,0.62702763577,1.03892239664,0.635162596485,0.582903378892,0.229773895735,0.345800450557,0.390852151672,0.943022700585,1.04404906038,0.508056118126,0.771910967216
5.5,0.99,10,1000,3.72222795591,5.41863727297,4.39570819462,3.14213957743,3.31049834117,1.84105361011,2.08661494267,6.44606330812,13.1123385276,2.83156649493,6.56139036385
6,0.8,10,1000,0.0908247903607,0.116691086912,0.0950957752705,0.0997118107283,0.0295240471481,0.0429668436225,0.0625998717343,0.128821559615,0.129851405143,0.0770740804951,0.11202243378
6,0.85,10,1000,0.140342482738,0.167054816021,0.1453444537,0.150631906419,0.0468835600702,0.0648813601232,0.0950051461772,0.200295793968,0.202542939414,0.116970553674,0.172399844398
6,0.9,10,1000,0.239482020621,0.266935841666,0.245155588148,0.251456264706,0.0815180393482,0.108374694781,0.159280156288,0.342011386976,0.346497598021,0.197933491901,0.292742625019
6,0.95,10,1000,0.537101366277,0.565196683505,0.543381900435,0.55223418501,0.185200476993,0.238354386225,0.351162458435,0.765052911142,0.775748215161,0.432523362899,0.651941927602
6,0.99,10,1000,2.91853383741,2.94707436957,2.92525195069,2.95322631359,1.01376904095,1.27678030228,1.88319923235,4.14264647887,4.20127473773,2.340491656,3.52135707142
6.5,0.8,10,1000,0.111336976704,0.151899623461,0.114051463788,0.113990166486,0.0306902634449,0.076863751884,0.0818546517472,0.15255952933,0.159569256867,0.0963068261077,0.132256240482
6.5,0.85,10,1000,0.171027685959,0.217111732386,0.17398493589,0.17230682767,0.046618765788,0.118995848804,0.123853137303,0.236645845428,0.240078532852,0.146906976241,0.202050089864
6.5,0.9,10,1000,0.290917665788,0.346484463796,0.293959197128,0.288691998771,0.0780563951994,0.203289609553,0.207483488824,0.399955398098,0.405528236078,0.249519578351,0.338319264649
6.5,0.95,10,1000,0.655330112978,0.732878127059,0.658302272808,0.637447443594,0.17031659755,0.456359370209,0.457117548094,0.878246030003,0.913530457907,0.558282486692,0.756752443077
6.5,0.99,10,1000,3.6881640623,3.81875943343,3.71373042477,3.81337211072,1.02453841958,2.43341047548,2.45303136847,4.97971091101,5.00304131255,3.08972970967,4.32819334999
